tstart,alpha,beta,chi,delta,eta,gamma,kappa,lambda,mu,nu,omega,phi,rho,theta
353469989.062,9.7624074737e-11,6.54032381881e-09,0.831048717867,1.70636903202e-10,6.38143346103e-07,2.54403649683e-08,2.37160641492e-11,3.78515873853e-11,4.0702975117e-14,0.00327173697841,0.00441492564527,1.33307412036e-08,8.09167939155e-16,0.161263935725
353470245.062,1.01824895949e-10,8.37056438257e-09,0.765392464383,2.2545631351e-10,6.72152651692e-07,2.28053254664e-08,1.63992483968e-11,3.26974595072e-11,2.15918161883e-14,0.00203069872842,0.00310216993677,1.37842648379e-08,8.6892539048e-16,0.229473949462
353470501.062,5.35153310364e-11,4.66157220094e-09,0.873891242092,9.09719157314e-11,3.58838490169e-07,1.60717230797e-08,5.24377768437e-12,2.05912466982e-11,1.11405602143e-14,0.00148183109646,0.00169087533779,7.8911506885e-09,2.33464139463e-16,0.12293566384
353470757.062,4.07703662303e-11,2.94175827219e-09,0.927914055322,1.01722544082e-10,2.93218155536e-07,1.57013225155e-08,5.80012056637e-12,2.40149184168e-11,1.43145401293e-14,0.00142929571777,0.00346583171787,9.5239197924e-09,1.17786219994e-16,0.0671904956854
353471013.062,4.76540610239e-11,2.97296141148e-09,0.943822831262,4.57335668449e-11,2.50277099327e-07,1.9206083755e-08,5.52685307813e-12,2.04335273421e-11,2.61269841577e-14,0.0023886157848,0.00164468581067,6.55534313255e-09,1.50980623593e-16,0.0521435880119
238071712.063,0.000172492615304,0.966651722765,3.76596364914e-09,2.25536163694e-08,7.50662627428e-06,8.31144458046e-08,5.94816957144e-08,0.000263804827509,1.4848829417e-10,0.00133311469855,7.53677046891e-09,1.88364508417e-10,7.72567221127e-08,0.0315711044208
238071968.063,0.0620617918811,0.737701955271,1.24794637801e-05,1.67518237369e-09,0.000323481775938,2.16360981249e-06,1.12300430939e-11,4.35115392495e-07,2.53858617972e-11,0.00246087845548,6.68426599579e-12,5.26993347781e-09,8.3853599467e-09,0.197436799054
238072224.064,0.650483385168,0.00933982284186,0.126723382703,1.83280843067e-05,0.000872697790373,0.00038048723833,1.32995727895e-08,1.0510517451e-05,2.19906460979e-08,0.103498806746,0.000657850864582,8.93473027977e-05,2.78665376556e-12,0.10792534545
238072480.065,0.235389972861,0.255992834805,0.00236281561043,3.76552131042e-05,0.000482512377041,0.000469756301387,8.20750938206e-08,2.20930443335e-05,4.0956817868e-08,0.0451189775281,1.01509700568e-05,1.72219761833e-05,2.39696952049e-09,0.460095883884
238072736.066,4.6640496345e-06,0.979827120462,3.6941976352e-10,4.76278049745e-13,8.06818664954e-08,2.92553423903e-07,1.45774394048e-09,6.3034430047e-08,2.78702391454e-10,0.0125859117171,8.51320017277e-17,7.60683259067e-14,6.46210106701e-05,0.00751724438403
238072992.067,2.00895152887e-08,0.971172220605,2.16011774033e-09,1.25298981609e-09,3.64614309962e-10,6.28771439795e-06,1.80233650799e-07,1.94759834721e-05,5.49111701081e-08,0.0127712831818,7.25371389797e-12,2.57224315653e-12,4.42108309672e-06,0.0160260524105
238073248.068,1.25388410357e-09,0.908047838585,2.37584717724e-08,4.10839896922e-09,1.13693754495e-11,0.000191513997905,9.20029905999e-07,3.8655195074e-06,6.7183643849e-07,0.0182287843114,5.58366403184e-12,5.53389556894e-12,1.62872849981e-05,0.0735100892918
238073504.069,1.08695501884e-10,0.755714931755,4.152835398e-08,1.62422943649e-11,1.85040643144e-12,0.000457881277617,4.4080300994e-08,5.68948247019e-09,1.62191024204e-07,0.0110055139814,3.1416505378e-16,2.79611611505e-13,0.000851840913434,0.231969578456
238073760.07,5.05567000439e-09,0.625517593984,4.59589418205e-07,1.60925469097e-09,1.04711439303e-10,0.000712774303489,2.53194205982e-07,6.36987797486e-08,1.35013016995e-07,0.0104628263591,3.36562872031e-13,2.55905425705e-11,7.84307509052e-05,0.363227456312
375152128.063,2.92666392722e-17,0.71393942135,8.04724313732e-16,0.103114675377,2.42645615397e-20,0.000760868400882,1.51169458541e-07,0.182161602413,2.32802964029e-05,6.77013062119e-12,4.57122425571e-10,2.25000098483e-10,2.94971866719e-10,9.00603061401e-12
375152384.066,8.33435785364e-17,0.321530363947,2.15870232921e-13,0.00570023507105,9.03796259382e-22,0.257177298334,3.09394493456e-05,0.315856884584,0.0997042157246,1.40352022083e-11,6.08092906495e-08,1.91633654587e-09,1.29760528081e-10,2.00223560188e-11
375152640.07,8.69775936838e-14,0.816071895692,2.91302984921e-13,0.000283403701549,4.48889818561e-18,0.0321426507591,0.000228328399895,0.0638992258085,0.0873743651677,1.01052867221e-09,2.29340310437e-08,2.10097775201e-09,1.03260394622e-07,1.16470475537e-09
375152896.074,2.10225732724e-15,0.183320993996,9.62075593973e-14,6.61520985707e-05,2.27542616228e-20,0.0513853679934,0.000412098338686,0.047956042682,0.716859312244,1.04095655534e-09,1.40560742479e-08,2.20064937572e-10,1.71533384053e-08,1.76207189347e-10
375153152.078,3.21177618344e-16,0.208915495013,2.45711540679e-14,0.000356689544637,1.37475620074e-21,0.0868402446169,0.000451308173579,0.044005951501,0.659430291015,1.1669555295e-10,7.82672948932e-09,1.99039056453e-10,1.19084867626e-08,8.41717136327e-11
375153408.082,7.15606586244e-14,0.878220754016,1.19497580834e-14,9.40231110237e-06,3.93655062821e-18,0.00514283840536,0.000130356079267,0.0485909666434,0.0679053366385,7.0473860974e-10,7.58222180832e-10,1.51145534793e-10,3.4415008392e-07,1.4234495179e-10
