	alpha	beta	chi	delta	eta	gamma	kappa	lambda	mu	nu	omega	phi	rho	theta
90105-05-03-05	1.03400795116e-07	2.80369071663e-07	0.0863028114814	1.28919915107e-07	0.0186479522475	7.55485178689e-05	2.4696393643e-08	7.23752051881e-13	6.13811357809e-10	1.09950032796e-08	0.000107052260771	5.33799164928e-05	1.46129202939e-14	0.89481270658
90105-05-03-05	6.16381246378e-08	3.53445542534e-07	0.0703812675243	1.45095099978e-07	0.0214559470665	4.76328443593e-05	2.08673154184e-08	3.75395395051e-13	4.20298571843e-10	9.98307638428e-09	6.35023973414e-05	4.05521869684e-05	1.03675959651e-14	0.908010506531
90105-05-03-05	8.74346684819e-08	1.86372026914e-07	0.110559246779	7.07564322005e-08	0.00946123519587	3.71560779572e-05	5.63439972244e-09	5.13367151269e-13	1.46726176701e-10	9.22778130119e-09	4.90551438886e-05	3.78752497305e-05	4.23365938253e-15	0.879855071981
90105-05-03-05	1.48658446807e-07	1.85354915819e-07	0.208154381257	9.8649288785e-08	0.00833531565782	7.19378932081e-05	6.67299221712e-09	1.12400165835e-12	2.03468729872e-10	1.17246705693e-08	8.98223527657e-05	6.64712214472e-05	3.40657978153e-15	0.783281620353
90105-05-03-05	2.34177169831e-07	1.83330074051e-07	0.22255566856	6.35639438086e-08	0.00728362893614	8.07589234732e-05	5.17628482049e-09	1.45356980867e-12	2.21797839666e-10	1.4737043594e-08	7.35688936534e-05	6.40765158817e-05	5.383670537e-15	0.769941796963
60702-01-01-24	0.00210583021457	0.948050868232	2.78838024057e-08	1.12136261921e-07	0.000178375824436	6.13323135524e-06	2.72312154567e-07	9.23395842914e-06	1.21281323375e-08	5.18929228261e-08	1.07893450859e-08	3.60706190354e-08	6.15072869303e-09	0.049649029175
60702-01-01-24	0.0060382267839	0.973151425626	2.444480454e-05	1.059514425e-08	0.00270977140038	6.20739440007e-07	1.82135409351e-10	5.67494600369e-09	4.23613001054e-12	3.85166449e-06	5.20391127821e-13	2.10803629868e-07	2.98364189782e-12	0.0180714317178
60702-01-01-24	0.0869514955629	0.0955211568108	0.63690032792	3.20400409146e-05	0.110575545441	0.00432927120146	1.5555762556e-07	8.36288096512e-08	1.53378687073e-10	2.2666090944e-05	5.77493132537e-08	0.0025088671942	7.3481318119e-15	0.0631583326487
60702-01-01-24	0.0167734739455	0.520011777066	0.00425205500699	0.000122004096801	0.395240330776	0.00223048759394	1.66401551989e-06	9.01436527023e-08	1.01194151402e-08	1.42369151007e-05	1.22817219686e-08	0.00026130660626	9.97765396425e-12	0.0610925514235
60702-01-01-24	1.09553950495e-06	0.998575948015	1.70650337537e-11	4.55445558196e-10	0.000672576641576	1.6920319877e-07	3.52391219735e-08	4.17699528817e-10	8.33177504207e-07	1.03996442393e-08	8.69831820825e-14	1.87884358137e-11	4.00822123242e-06	0.000745322653687
60702-01-01-24	6.54926871341e-05	0.975313877988	1.52138491925e-09	1.84677534421e-07	0.00199712298679	8.4690970953e-05	1.32414208502e-05	1.69801401831e-06	5.22870517982e-05	1.12054887403e-08	2.94594404208e-08	5.40131160559e-09	2.61237792029e-05	0.0224452328365
60702-01-01-24	0.0017670649804	0.867488789135	2.73318873581e-08	9.67784883031e-06	0.00740230496669	0.00191233631977	6.14249563082e-05	0.000106077624269	0.000186637292205	2.26954750151e-08	7.45295960335e-06	1.4996356171e-07	0.0014042981528	0.119653735774
60702-01-01-24	0.00103418285923	0.54443417003	2.22414342392e-08	5.217517074e-06	0.0363083288901	0.000627112249824	4.11502660747e-06	5.84483202665e-06	8.34151310857e-05	2.36345571989e-08	4.99630999612e-07	4.25778862308e-08	0.232728720504	0.184768304875
60702-01-01-24	0.007010880615	0.439743670048	5.5703039898e-07	0.00011777805637	0.0473199102603	0.00312485790036	8.42830945849e-06	4.94141379275e-05	2.23238610391e-05	5.70544965428e-08	1.37585624444e-05	9.57585363529e-07	0.0128969252248	0.489690481354
90105-06-03-00	5.04338651943e-06	0.0160794124492	4.07098422859e-14	5.20901707723e-05	1.18309019295e-09	7.03010290623e-05	1.76457480163e-05	0.983371168953	0.000404299622614	3.47185272301e-12	2.89400725682e-08	1.22546221187e-09	7.11660606757e-09	1.71814968085e-10
90105-06-03-00	1.38515087819e-06	0.00283431125193	4.18033122058e-14	7.56267642336e-05	1.719855385e-10	4.05268112981e-05	7.03523142051e-06	0.996966536308	7.44439616787e-05	5.69313965671e-13	1.32853692881e-07	1.09982495297e-09	3.30767913605e-10	6.3702594353e-11
